Area name,Year,% of economically active with NVQ4+ - working age_x,% of economically active with NVQ4+ - working age_y,% of economically active with NVQ3 only - working age,% of economically active with Trade Apprenticeships - working age,% of economically active with NVQ2 only - working age,% of economically active with NVQ1 only - working age,% of economically active with other qualifications - working age,% of economically active with no qualifications - working age,Gross Annual Pay - Full Time - Total (£),Gross Annual Pay - Full Time - Male (£),Gross Annual Pay - Full Time - Female (£),Median Modelled Household income (£),Mean Modelled Household income (£),Real change % (after inflation) - 2001/02 to 2012/13,Number of active businesses,Two-year business survival rates,Number Employed - Total,Number Employed - Male,Number Employed - Female,Jobs Density,Crime Rates per thousand population,Fires per thousand population,Ambulance incidents per hundred population,Total Carbon Emissions,Household Waste Recycling Rate,Number of Licensed Vehicles,Traffic Flows,% of adults who cycle at least once per month,Road Casualties (Killed or Seriously Injured),Average Public Transport Accessibility Score,% children living in out-of-work households
Southwark,2009,54.5,54.5,8.3,0.9,7.9,8.6,13.5,6.3,34265,36621,30799,,,,13240.0,71.0,,,,1.12,131.7871372,4.620802503999999,7.544820717,1500.032387,22.0,73326.0,784.0,,127.0,,32.4
Sutton,2009,41.0,41.0,14.9,2.8,13.4,11,10.2,6.8,26111,27018,24428,,,,6915.0,76.9,,,,0.57,69.26294196,3.178028028,5.490335712,805.8451738,38.0,95240.0,639.0,,57.0,,17.3
Tower Hamlets,2009,46.5,46.5,12.1,1.6,10.6,5.9,16.3,6.9,43987,49791,37988,,,,11880.0,69.3,,,,1.26,112.2268654,6.74026487,6.7876671029999995,2102.0916469999997,26.0,50473.0,943.0,,105.0,,53.0
Waltham Forest,2009,32.3,32.3,12.8,1.5,8.1,10.4,19.8,15.2,27651,-,-,,,,7185.0,72.8,,,,0.46,109.8815185,3.248166358,6.209397921,876.9226448999999,28.0,87622.0,692.0,,61.0,,32.7
Wandsworth,2009,65.0,65.0,8.6,0.4,5.9,5,10.7,4.3,32373,33345,29657,,,,15270.0,75.5,,,,0.58,85.08186152,2.8161297760000004,5.327262341,1207.244631,25.0,98053.0,828.0,,120.0,,24.9
Westminster,2009,65.0,65.0,9.4,!,5.9,4.3,10.3,4.7,36765,42126,30962,,,,47010.0,62.5,,,,3.35,295.0594525,4.691676652,11.30426767,3089.681006,24.0,63548.0,880.0,,261.0,,38.7
City of London,2010,!,!,!,!,!,!,!,!,52271,62184,39345,,,,15830.0,62.71676301,,,,40.37,-,13.62769147,85.17307168,1630.4005339999999,39.0,3687.0,166.0,30.0,41.0,,18.9
Barking and Dagenham,2010,33.8,33.8,9.7,1.1,16.5,13.1,12.9,12.9,28527,31343,22187,,,,4190.0,70.86614173,,,,0.44,104.8851989,5.89592973,14.85577396,872.1353137,28.0,65155.0,586.0,8.0,48.0,,34.9
Barnet,2010,53.2,53.2,12.1,2.8,8.7,5.8,12.3,5.2,30000,33660,26420,,,,20665.0,66.59836066,,,,0.62,73.13096478,2.467006983,11.7175718,1673.944011,33.0,150799.0,1673.0,10.0,132.0,,21.2
Bexley,2010,30.5,30.5,17,4.6,20.2,16.7,6.8,4.3,27738,28696,25854,,,,7165.0,71.42857143,,,,0.53,59.55069329,4.087364712,11.32152346,1152.3193509999999,51.0,119850.0,929.0,11.0,68.0,,19.0
Brent,2010,31,31,10.3,2.4,8.9,6.4,38.9,2.1,25997,26521,24583,,,,12595.0,71.47239264,,,,0.66,96.76329216,2.326229965,12.40251325,1288.715903,33.0,105469.0,903.0,14.0,84.0,,29.9
Bromley,2010,41,41,18,2.1,17.8,9.4,8,3.7,27712,31081,24478,,,,12965.0,75.93220339,,,,0.6,71.39940368,3.341327457,10.78428831,1439.13665,44.0,161396.0,1206.0,14.0,90.0,,16.8
Camden,2010,63.5,63.5,7.2,!,8.4,5.8,10.6,4,36527,39388,33549,,,,25380.0,67.57679181,,,,1.72,159.2967749,3.730352777,16.71905926,1634.798156,32.0,58314.0,478.0,20.0,112.0,,35.3
Croydon,2010,45.1,45.1,15.1,3.5,14.4,11.4,6.6,3.9,28586,30725,24636,,,,12560.0,72.24080268,,,,0.61,90.21346497,3.075839989,13.00289704,1577.030197,33.0,148197.0,1156.0,15.0,87.0,,25.1
Ealing,2010,46.7,46.7,13.4,1.7,8.8,5.2,17.1,7.1,28732,31137,25358,,,,14240.0,70.84548105,,,,0.58,104.8573216,2.610207949,12.21918563,1605.0324449999998,40.0,130960.0,1217.0,15.0,85.0,,26.6
Enfield,2010,43.9,43.9,11.8,2.8,13.2,12.5,10.6,5.2,26967,-,24590,,,,10920.0,69.42446043,,,,0.59,76.89632307,3.126950281,12.70510454,1472.455081,32.0,132543.0,1582.0,13.0,98.0,,33.4
Greenwich,2010,42.2,42.2,13.8,2.2,12.6,12.1,10.7,6.3,31821,33910,27189,,,,7160.0,72.16981132,,,,0.54,96.84112517,5.036701703,13.34946683,1207.277103,37.0,83301.0,1064.0,12.0,104.0,,30.6
Hackney,2010,49.8,49.8,8.9,1.6,10.6,6.1,13.5,9.6,35149,36477,32742,,,,11700.0,70.38216561,,,,0.66,115.8935877,3.234893832,13.02065451,881.2026063,25.0,49983.0,507.0,26.0,103.0,,37.5
Hammersmith and Fulham,2010,59.9,59.9,11.8,0.7,6.9,5.7,11.2,3.7,35033,40827,31363,,,,11865.0,69.20731707,,,,1.13,133.5475166,2.842260094,13.5637739,1069.836668,28.0,50680.0,554.0,20.0,74.0,,32.0
Haringey,2010,51.2,51.2,10,1.8,8.5,6.5,14.8,7.1,29597,29589,29618,,,,9825.0,70.94339623,,,,0.45,97.28497836,3.315634125,14.06533144,973.3324782,28.0,73281.0,544.0,14.0,79.0,,33.6
Harrow,2010,39.9,39.9,12.1,2.5,11.3,5.2,25.4,3.6,27921,32801,22178,,,,11645.0,71.76870748,,,,0.51,63.05722023,1.8193227230000002,10.10650618,916.0684615,50.0,106491.0,565.0,10.0,39.0,,21.3
Havering,2010,22.3,22.3,21.5,4.5,18,16.7,6.5,10.6,28235,-,26423,,,,8155.0,72.47191011,,,,0.55,74.42197144,3.8182480080000003,11.99234657,1243.4264050000002,31.0,124905.0,1473.0,10.0,63.0,,19.0
Hillingdon,2010,29.5,29.5,12,3.4,16.7,12.8,14.2,11.4,31586,34070,27436,,,,10235.0,73.94957983,,,,1.09,87.33972872,3.540348468,14.74662758,2080.7543,43.0,147885.0,2076.0,8.0,83.0,,23.4
Hounslow,2010,38.5,38.5,8.9,1.4,10.8,8,21.8,10.5,31307,35506,27442,,,,10320.0,75.97173145,,,,0.86,95.71249739,3.8236851819999997,12.33248808,1525.975303,35.0,106250.0,1491.0,16.0,97.0,,25.7
Islington,2010,69.4,69.4,6.6,!,4.9,4.8,10.7,3.5,34551,36654,32946,,,,14095.0,71.96531792,,,,1.34,140.2895133,3.3878148589999997,14.71600817,1164.29656,30.0,44503.0,416.0,19.0,81.0,,41.4
Kensington and Chelsea,2010,64.4,64.4,9.6,0.8,6.7,3.2,13.4,1.8,30196,32310,29043,,,,12365.0,69.44444444,,,,1.1,131.9992771,2.499018465,12.39725046,1411.547465,32.0,51124.0,525.0,20.0,80.0,,26.0
Kingston upon Thames,2010,59.7,59.7,11.8,1.8,8.9,6.2,6.2,5.5,28240,29051,26751,,,,7725.0,72.31638418,,,,0.72,70.28137764,2.653673541,11.25069336,824.9759554999999,47.0,73047.0,978.0,16.0,46.0,,14.9
Lambeth,2010,62.3,62.3,8,!,8.4,4.6,11.3,5,33821,36439,31352,,,,11315.0,74.27652733,,,,0.71,119.8454561,3.1143961030000002,14.80228456,1338.417658,28.0,73653.0,756.0,22.0,156.0,,32.8
Lewisham,2010,55.4,55.4,12.4,2.4,10.5,5.5,9.6,4.3,30806,30634,30910,,,,7795.0,71.06598985,,,,0.39,105.9499129,3.478579947,13.31841115,1028.293474,18.0,84452.0,775.0,16.0,108.0,,31.4
Merton,2010,54.8,54.8,9.7,2.7,8.7,5.9,13.4,4.7,27441,29370,25091,,,,9040.0,73.66255144,,,,0.54,73.92435321,2.807126788,10.97039209,911.3883745999999,36.0,82546.0,599.0,18.0,39.0,,18.4
Newham,2010,37.1,37.1,9.9,1.8,10.7,5.9,25,9.6,32578,34042,27445,,,,6900.0,65.8436214,,,,0.5,114.8540467,4.569293147,13.82988324,1553.493218,15.0,74019.0,944.0,11.0,81.0,,35.7
Redbridge,2010,41.9,41.9,14.4,1.3,11.2,5.5,13.8,11.9,30086,33466,27325,,,,10095.0,69.83606557,,,,0.44,89.13147793,3.177165125,11.81076601,1023.565567,28.0,111868.0,1033.0,11.0,76.0,,25.3
Richmond upon Thames,2010,59.6,59.6,13.1,0.9,8.6,8.5,6.4,2.8,32249,35865,30216,,,,12360.0,77.14285714,,,,0.66,62.98308142,2.0826176569999997,9.943962556,948.5735833999998,43.0,86886.0,778.0,30.0,72.0,,10.7
Southwark,2010,57.3,57.3,10.9,0.8,7.6,6.4,10.4,6.5,35050,36695,32347,,,,14165.0,71.75141243,,,,1.08,127.7481966,4.211053045,15.32153769,1574.2783140000001,25.0,71584.0,762.0,20.0,165.0,,31.5
Sutton,2010,40.6,40.6,13.1,3.5,16.3,13.4,6.6,6.4,26288,27005,25008,,,,7230.0,73.07692308,,,,0.57,65.53948056,3.0107595039999997,11.12237945,843.6932885,38.0,94976.0,615.0,15.0,49.0,,16.7
Tower Hamlets,2010,52.2,52.2,11.3,1.3,7.7,4.7,17.4,5.4,44443,49801,36505,,,,12400.0,67.85714286,,,,1.28,115.2905199,5.754064059,13.6757605,2242.360252,25.0,49986.0,950.0,16.0,91.0,,48.6
Waltham Forest,2010,37.1,37.1,11.9,1.9,10.3,8.6,19.6,10.7,27755,27688,27149,,,,7720.0,68.37209302,,,,0.43,108.4174183,3.3227169119999997,12.47199902,930.0399239,27.0,86932.0,704.0,14.0,67.0,,30.8
Wandsworth,2010,70,70,5.9,!,6.2,4.6,10.3,2.6,31818,34218,29197,,,,15175.0,74.82352941,,,,0.55,81.69651708,2.5312272819999997,10.68435662,1275.066294,27.0,97130.0,836.0,20.0,102.0,,23.1
Westminster,2010,68.1,68.1,6.6,1,4.9,4.7,11.4,3.4,37836,42714,32045,,,,47465.0,64.69135802,,,,3.33,294.6585201,4.608931473999999,23.02624006,3266.119017,25.0,62248.0,863.0,21.0,186.0,,37.5
City of London,2011,!,!,!,!,!,!,!,!,54381,63793,40818,,,,16250.0,63.8,430000.0,280000.0,149000.0,74.76,-,14.43604965,81.71883432,1388.637048,37.0,3802.0,162.0,18.0,49.0,,11.7
City of London,2011,!,!,!,!,!,!,!,!,54381,63793,40818,,,,16250.0,63.8,430000.0,280000.0,149000.0,74.76,-,14.43604965,81.71883432,1388.637048,37.0,3802.0,162.0,18.0,49.0,,14.3
City of London,2011,!,!,!,!,!,!,!,!,54381,63793,40818,,,,16250.0,63.8,430000.0,280000.0,149000.0,74.76,-,14.43604965,81.71883432,1388.637048,37.0,3802.0,162.0,18.0,49.0,,11.7
City of London,2011,!,!,!,!,!,!,!,!,54381,63793,40818,,,,16250.0,63.8,430000.0,280000.0,149000.0,74.76,-,14.43604965,81.71883432,1388.637048,37.0,3802.0,162.0,18.0,49.0,,14.3
Barking and Dagenham,2011,33.2,33.2,13.7,3.5,16.3,14.3,10.4,8.6,28201,31425,22846,,,,4280.0,72.5,53000.0,34000.0,19000.0,0.45,100.6528399,5.175667945,14.18015388,783.8799424,30.0,65278.0,584.0,9.0,49.0,,32.0
Barking and Dagenham,2011,33.2,33.2,13.7,3.5,16.3,14.3,10.4,8.6,28201,31425,22846,,,,4280.0,72.5,53000.0,34000.0,19000.0,0.45,100.6528399,5.175667945,14.18015388,783.8799424,30.0,65278.0,584.0,9.0,49.0,,33.6
Barking and Dagenham,2011,33.2,33.2,13.7,3.5,16.3,14.3,10.4,8.6,28201,31425,22846,,,,4280.0,72.5,53000.0,34000.0,19000.0,0.45,100.6528399,5.175667945,14.18015388,783.8799424,30.0,65278.0,584.0,9.0,49.0,,32.0
Barking and Dagenham,2011,33.2,33.2,13.7,3.5,16.3,14.3,10.4,8.6,28201,31425,22846,,,,4280.0,72.5,53000.0,34000.0,19000.0,0.45,100.6528399,5.175667945,14.18015388,783.8799424,30.0,65278.0,584.0,9.0,49.0,,33.6
Barnet,2011,57.3,57.3,10.9,1.2,9.3,7.5,10.1,3.7,30237,33203,26486,,,,21205.0,72.1,148000.0,69000.0,78000.0,0.62,73.50547354,2.55637163,11.18538449,1498.341242,34.0,150912.0,1587.0,9.0,141.0,,17.5
Barnet,2011,57.3,57.3,10.9,1.2,9.3,7.5,10.1,3.7,30237,33203,26486,,,,21205.0,72.1,148000.0,69000.0,78000.0,0.62,73.50547354,2.55637163,11.18538449,1498.341242,34.0,150912.0,1587.0,9.0,141.0,,20.1
Barnet,2011,57.3,57.3,10.9,1.2,9.3,7.5,10.1,3.7,30237,33203,26486,,,,21205.0,72.1,148000.0,69000.0,78000.0,0.62,73.50547354,2.55637163,11.18538449,1498.341242,34.0,150912.0,1587.0,9.0,141.0,,17.5
Barnet,2011,57.3,57.3,10.9,1.2,9.3,7.5,10.1,3.7,30237,33203,26486,,,,21205.0,72.1,148000.0,69000.0,78000.0,0.62,73.50547354,2.55637163,11.18538449,1498.341242,34.0,150912.0,1587.0,9.0,141.0,,20.1
Bexley,2011,29.6,29.6,19,2.9,19.2,17.2,7.3,4.8,28638,30562,24980,,,,7245.0,76.7,78000.0,42000.0,38000.0,0.53,52.27387939,3.015800734,11.34362085,1038.058438,53.0,117307.0,902.0,10.0,49.0,,19.0
Bexley,2011,29.6,29.6,19,2.9,19.2,17.2,7.3,4.8,28638,30562,24980,,,,7245.0,76.7,78000.0,42000.0,38000.0,0.53,52.27387939,3.015800734,11.34362085,1038.058438,53.0,117307.0,902.0,10.0,49.0,,18.9
Bexley,2011,29.6,29.6,19,2.9,19.2,17.2,7.3,4.8,28638,30562,24980,,,,7245.0,76.7,78000.0,42000.0,38000.0,0.53,52.27387939,3.015800734,11.34362085,1038.058438,53.0,117307.0,902.0,10.0,49.0,,19.0
Bexley,2011,29.6,29.6,19,2.9,19.2,17.2,7.3,4.8,28638,30562,24980,,,,7245.0,76.7,78000.0,42000.0,38000.0,0.53,52.27387939,3.015800734,11.34362085,1038.058438,53.0,117307.0,902.0,10.0,49.0,,18.9
Brent,2011,33.8,33.8,14.8,1.9,11.4,9.2,20.7,8.2,26772,28497,22443,,,,12835.0,73.9,114000.0,66000.0,48000.0,0.53,101.1769604,2.536469759,11.71515957,1146.5200730000001,37.0,104342.0,873.0,10.0,72.0,,25.3
Brent,2011,33.8,33.8,14.8,1.9,11.4,9.2,20.7,8.2,26772,28497,22443,,,,12835.0,73.9,114000.0,66000.0,48000.0,0.53,101.1769604,2.536469759,11.71515957,1146.5200730000001,37.0,104342.0,873.0,10.0,72.0,,28.8
Brent,2011,33.8,33.8,14.8,1.9,11.4,9.2,20.7,8.2,26772,28497,22443,,,,12835.0,73.9,114000.0,66000.0,48000.0,0.53,101.1769604,2.536469759,11.71515957,1146.5200730000001,37.0,104342.0,873.0,10.0,72.0,,25.3
Brent,2011,33.8,33.8,14.8,1.9,11.4,9.2,20.7,8.2,26772,28497,22443,,,,12835.0,73.9,114000.0,66000.0,48000.0,0.53,101.1769604,2.536469759,11.71515957,1146.5200730000001,37.0,104342.0,873.0,10.0,72.0,,28.8
Bromley,2011,47.1,47.1,17.5,2.1,12.8,10.5,4.6,5.4,28163,31150,22020,,,,13080.0,76.6,121000.0,57000.0,65000.0,0.61,70.52879692,3.6354386030000003,10.39464956,1298.996154,50.0,161770.0,1200.0,14.0,81.0,,16.3
Bromley,2011,47.1,47.1,17.5,2.1,12.8,10.5,4.6,5.4,28163,31150,22020,,,,13080.0,76.6,121000.0,57000.0,65000.0,0.61,70.52879692,3.6354386030000003,10.39464956,1298.996154,50.0,161770.0,1200.0,14.0,81.0,,16.7
Bromley,2011,47.1,47.1,17.5,2.1,12.8,10.5,4.6,5.4,28163,31150,22020,,,,13080.0,76.6,121000.0,57000.0,65000.0,0.61,70.52879692,3.6354386030000003,10.39464956,1298.996154,50.0,161770.0,1200.0,14.0,81.0,,16.3
Bromley,2011,47.1,47.1,17.5,2.1,12.8,10.5,4.6,5.4,28163,31150,22020,,,,13080.0,76.6,121000.0,57000.0,65000.0,0.61,70.52879692,3.6354386030000003,10.39464956,1298.996154,50.0,161770.0,1200.0,14.0,81.0,,16.7
Camden,2011,69.4,69.4,8.2,!,7.2,5.2,5.6,4,35967,38089,32716,,,,25930.0,71.4,326000.0,179000.0,147000.0,2.02,162.6584033,3.380481355,15.78875626,1484.26725,33.0,58121.0,466.0,18.0,100.0,,30.6
Camden,2011,69.4,69.4,8.2,!,7.2,5.2,5.6,4,35967,38089,32716,,,,25930.0,71.4,326000.0,179000.0,147000.0,2.02,162.6584033,3.380481355,15.78875626,1484.26725,33.0,58121.0,466.0,18.0,100.0,,33.6
Camden,2011,69.4,69.4,8.2,!,7.2,5.2,5.6,4,35967,38089,32716,,,,25930.0,71.4,326000.0,179000.0,147000.0,2.02,162.6584033,3.380481355,15.78875626,1484.26725,33.0,58121.0,466.0,18.0,100.0,,30.6
Camden,2011,69.4,69.4,8.2,!,7.2,5.2,5.6,4,35967,38089,32716,,,,25930.0,71.4,326000.0,179000.0,147000.0,2.02,162.6584033,3.380481355,15.78875626,1484.26725,33.0,58121.0,466.0,18.0,100.0,,33.6
Croydon,2011,43.1,43.1,12,2.1,16.5,12,8.2,6.2,28979,30738,24851,,,,12700.0,74.9,137000.0,69000.0,68000.0,0.56,89.84005592,3.2317750089999997,12.58199361,1424.5317599999998,38.0,147735.0,1153.0,8.0,109.0,,23.5
Croydon,2011,43.1,43.1,12,2.1,16.5,12,8.2,6.2,28979,30738,24851,,,,12700.0,74.9,137000.0,69000.0,68000.0,0.56,89.84005592,3.2317750089999997,12.58199361,1424.5317599999998,38.0,147735.0,1153.0,8.0,109.0,,24.6
Croydon,2011,43.1,43.1,12,2.1,16.5,12,8.2,6.2,28979,30738,24851,,,,12700.0,74.9,137000.0,69000.0,68000.0,0.56,89.84005592,3.2317750089999997,12.58199361,1424.5317599999998,38.0,147735.0,1153.0,8.0,109.0,,23.5
Croydon,2011,43.1,43.1,12,2.1,16.5,12,8.2,6.2,28979,30738,24851,,,,12700.0,74.9,137000.0,69000.0,68000.0,0.56,89.84005592,3.2317750089999997,12.58199361,1424.5317599999998,38.0,147735.0,1153.0,8.0,109.0,,24.6
Ealing,2011,54.7,54.7,13.8,1.8,7.4,6.8,9.5,5.9,28646,31350,24367,,,,14570.0,76.7,147000.0,93000.0,56000.0,0.63,96.00252274,2.584626629,11.93201577,1486.093332,41.0,129897.0,1215.0,14.0,66.0,,22.5
Ealing,2011,54.7,54.7,13.8,1.8,7.4,6.8,9.5,5.9,28646,31350,24367,,,,14570.0,76.7,147000.0,93000.0,56000.0,0.63,96.00252274,2.584626629,11.93201577,1486.093332,41.0,129897.0,1215.0,14.0,66.0,,25.1
Ealing,2011,54.7,54.7,13.8,1.8,7.4,6.8,9.5,5.9,28646,31350,24367,,,,14570.0,76.7,147000.0,93000.0,56000.0,0.63,96.00252274,2.584626629,11.93201577,1486.093332,41.0,129897.0,1215.0,14.0,66.0,,22.5
Ealing,2011,54.7,54.7,13.8,1.8,7.4,6.8,9.5,5.9,28646,31350,24367,,,,14570.0,76.7,147000.0,93000.0,56000.0,0.63,96.00252274,2.584626629,11.93201577,1486.093332,41.0,129897.0,1215.0,14.0,66.0,,25.1
Enfield,2011,44,44,13,1.8,12.5,12.5,10.9,5.4,26412,28862,24625,,,,10980.0,71.2,110000.0,61000.0,49000.0,0.54,73.03422683,3.00380652,12.02032268,1312.548334,35.0,131512.0,1479.0,8.0,98.0,,29.4
Enfield,2011,44,44,13,1.8,12.5,12.5,10.9,5.4,26412,28862,24625,,,,10980.0,71.2,110000.0,61000.0,49000.0,0.54,73.03422683,3.00380652,12.02032268,1312.548334,35.0,131512.0,1479.0,8.0,98.0,,32.5
Enfield,2011,44,44,13,1.8,12.5,12.5,10.9,5.4,26412,28862,24625,,,,10980.0,71.2,110000.0,61000.0,49000.0,0.54,73.03422683,3.00380652,12.02032268,1312.548334,35.0,131512.0,1479.0,8.0,98.0,,29.4
Enfield,2011,44,44,13,1.8,12.5,12.5,10.9,5.4,26412,28862,24625,,,,10980.0,71.2,110000.0,61000.0,49000.0,0.54,73.03422683,3.00380652,12.02032268,1312.548334,35.0,131512.0,1479.0,8.0,98.0,,32.5
Greenwich,2011,49.2,49.2,14,1.1,10.7,9,9.3,6.6,29932,32405,26734,,,,7290.0,73.3,81000.0,40000.0,41000.0,0.47,87.7357789,4.638273388,12.69790945,1073.087581,39.0,82812.0,1079.0,14.0,94.0,,27.9
Greenwich,2011,49.2,49.2,14,1.1,10.7,9,9.3,6.6,29932,32405,26734,,,,7290.0,73.3,81000.0,40000.0,41000.0,0.47,87.7357789,4.638273388,12.69790945,1073.087581,39.0,82812.0,1079.0,14.0,94.0,,29.2
Greenwich,2011,49.2,49.2,14,1.1,10.7,9,9.3,6.6,29932,32405,26734,,,,7290.0,73.3,81000.0,40000.0,41000.0,0.47,87.7357789,4.638273388,12.69790945,1073.087581,39.0,82812.0,1079.0,14.0,94.0,,27.9
Greenwich,2011,49.2,49.2,14,1.1,10.7,9,9.3,6.6,29932,32405,26734,,,,7290.0,73.3,81000.0,40000.0,41000.0,0.47,87.7357789,4.638273388,12.69790945,1073.087581,39.0,82812.0,1079.0,14.0,94.0,,29.2
Hackney,2011,56.6,56.6,7.2,0.7,12.5,7.3,8.7,7,33512,35483,32322,,,,12150.0,75.4,112000.0,62000.0,50000.0,0.63,112.8803877,3.446852926,12.25736502,813.1075442000001,24.0,48158.0,482.0,22.0,108.0,,30.2
Hackney,2011,56.6,56.6,7.2,0.7,12.5,7.3,8.7,7,33512,35483,32322,,,,12150.0,75.4,112000.0,62000.0,50000.0,0.63,112.8803877,3.446852926,12.25736502,813.1075442000001,24.0,48158.0,482.0,22.0,108.0,,35.6
Hackney,2011,56.6,56.6,7.2,0.7,12.5,7.3,8.7,7,33512,35483,32322,,,,12150.0,75.4,112000.0,62000.0,50000.0,0.63,112.8803877,3.446852926,12.25736502,813.1075442000001,24.0,48158.0,482.0,22.0,108.0,,30.2
Hackney,2011,56.6,56.6,7.2,0.7,12.5,7.3,8.7,7,33512,35483,32322,,,,12150.0,75.4,112000.0,62000.0,50000.0,0.63,112.8803877,3.446852926,12.25736502,813.1075442000001,24.0,48158.0,482.0,22.0,108.0,,35.6
Hammersmith and Fulham,2011,66.7,66.7,9.1,1.2,5.5,5.4,5.6,6.5,36143,41423,32462,,,,11915.0,73.0,140000.0,75000.0,65000.0,1.03,128.4003398,2.92690948,12.69204418,963.3000704,30.0,50760.0,531.0,20.0,77.0,,27.4
Hammersmith and Fulham,2011,66.7,66.7,9.1,1.2,5.5,5.4,5.6,6.5,36143,41423,32462,,,,11915.0,73.0,140000.0,75000.0,65000.0,1.03,128.4003398,2.92690948,12.69204418,963.3000704,30.0,50760.0,531.0,20.0,77.0,,29.7
Hammersmith and Fulham,2011,66.7,66.7,9.1,1.2,5.5,5.4,5.6,6.5,36143,41423,32462,,,,11915.0,73.0,140000.0,75000.0,65000.0,1.03,128.4003398,2.92690948,12.69204418,963.3000704,30.0,50760.0,531.0,20.0,77.0,,27.4
Hammersmith and Fulham,2011,66.7,66.7,9.1,1.2,5.5,5.4,5.6,6.5,36143,41423,32462,,,,11915.0,73.0,140000.0,75000.0,65000.0,1.03,128.4003398,2.92690948,12.69204418,963.3000704,30.0,50760.0,531.0,20.0,77.0,,29.7
Haringey,2011,60,60,9.8,1,9.6,4.7,11,3.9,28032,29394,26189,,,,10005.0,73.6,76000.0,39000.0,35000.0,0.41,101.3970416,3.165844878,13.34781248,871.2595448999999,26.0,71293.0,539.0,16.0,78.0,,28.7
Haringey,2011,60,60,9.8,1,9.6,4.7,11,3.9,28032,29394,26189,,,,10005.0,73.6,76000.0,39000.0,35000.0,0.41,101.3970416,3.165844878,13.34781248,871.2595448999999,26.0,71293.0,539.0,16.0,78.0,,31.9
Haringey,2011,60,60,9.8,1,9.6,4.7,11,3.9,28032,29394,26189,,,,10005.0,73.6,76000.0,39000.0,35000.0,0.41,101.3970416,3.165844878,13.34781248,871.2595448999999,26.0,71293.0,539.0,16.0,78.0,,28.7
Haringey,2011,60,60,9.8,1,9.6,4.7,11,3.9,28032,29394,26189,,,,10005.0,73.6,76000.0,39000.0,35000.0,0.41,101.3970416,3.165844878,13.34781248,871.2595448999999,26.0,71293.0,539.0,16.0,78.0,,31.9
Harrow,2011,49.3,49.3,13.1,1.9,12.7,4.8,13.3,4.9,27540,32532,20973,,,,11905.0,75.1,77000.0,37000.0,40000.0,0.48,58.91500588,1.9002158009999999,9.717296122,813.535108,48.0,106065.0,569.0,8.0,37.0,,17.2
Harrow,2011,49.3,49.3,13.1,1.9,12.7,4.8,13.3,4.9,27540,32532,20973,,,,11905.0,75.1,77000.0,37000.0,40000.0,0.48,58.91500588,1.9002158009999999,9.717296122,813.535108,48.0,106065.0,569.0,8.0,37.0,,19.9
Harrow,2011,49.3,49.3,13.1,1.9,12.7,4.8,13.3,4.9,27540,32532,20973,,,,11905.0,75.1,77000.0,37000.0,40000.0,0.48,58.91500588,1.9002158009999999,9.717296122,813.535108,48.0,106065.0,569.0,8.0,37.0,,17.2
Harrow,2011,49.3,49.3,13.1,1.9,12.7,4.8,13.3,4.9,27540,32532,20973,,,,11905.0,75.1,77000.0,37000.0,40000.0,0.48,58.91500588,1.9002158009999999,9.717296122,813.535108,48.0,106065.0,569.0,8.0,37.0,,19.9
Havering,2011,21.7,21.7,19.5,3.8,21.8,18,6.8,8.4,28415,31552,26471,,,,8170.0,75.1,83000.0,38000.0,45000.0,0.55,72.7197838,3.48005901,11.69224174,1118.423364,35.0,125338.0,1480.0,15.0,74.0,,19.3
Havering,2011,21.7,21.7,19.5,3.8,21.8,18,6.8,8.4,28415,31552,26471,,,,8170.0,75.1,83000.0,38000.0,45000.0,0.55,72.7197838,3.48005901,11.69224174,1118.423364,35.0,125338.0,1480.0,15.0,74.0,,18.9
Havering,2011,21.7,21.7,19.5,3.8,21.8,18,6.8,8.4,28415,31552,26471,,,,8170.0,75.1,83000.0,38000.0,45000.0,0.55,72.7197838,3.48005901,11.69224174,1118.423364,35.0,125338.0,1480.0,15.0,74.0,,19.3
Havering,2011,21.7,21.7,19.5,3.8,21.8,18,6.8,8.4,28415,31552,26471,,,,8170.0,75.1,83000.0,38000.0,45000.0,0.55,72.7197838,3.48005901,11.69224174,1118.423364,35.0,125338.0,1480.0,15.0,74.0,,18.9
Hillingdon,2011,37.8,37.8,12.4,3.7,15.5,13,9.2,8.4,33589,36231,27754,,,,10525.0,76.6,201000.0,120000.0,80000.0,1.1,86.88597781,3.695113231,14.45667679,1812.088822,43.0,149089.0,2036.0,10.0,74.0,,20.4
Hillingdon,2011,37.8,37.8,12.4,3.7,15.5,13,9.2,8.4,33589,36231,27754,,,,10525.0,76.6,201000.0,120000.0,80000.0,1.1,86.88597781,3.695113231,14.45667679,1812.088822,43.0,149089.0,2036.0,10.0,74.0,,22.0
Hillingdon,2011,37.8,37.8,12.4,3.7,15.5,13,9.2,8.4,33589,36231,27754,,,,10525.0,76.6,201000.0,120000.0,80000.0,1.1,86.88597781,3.695113231,14.45667679,1812.088822,43.0,149089.0,2036.0,10.0,74.0,,20.4
Hillingdon,2011,37.8,37.8,12.4,3.7,15.5,13,9.2,8.4,33589,36231,27754,,,,10525.0,76.6,201000.0,120000.0,80000.0,1.1,86.88597781,3.695113231,14.45667679,1812.088822,43.0,149089.0,2036.0,10.0,74.0,,22.0
